country_code,nace_r2_code,year,gross_exports_usd_m,trade_available
FI,C16-C18,2004,14637.627703615442,True
FI,C16-C18,2005,12905.74462188976,True
FI,C16-C18,2006,13954.555556950721,True
FI,C16-C18,2007,16931.774330848333,True
FI,C16-C18,2008,16463.519640734507,True
FI,C16-C18,2009,12437.773957762953,True
FI,C16-C18,2010,14875.164987284123,True
FI,C16-C18,2011,16592.316518267326,True
FI,C16-C18,2012,15169.87147633206,True
FI,C16-C18,2013,16308.942926400452,True
FI,C16-C18,2014,17102.923725441316,True
FI,C19,2000,1555.9513827103694,True
FI,C19,2001,1294.414601731064,True
FI,C19,2002,1445.3259443074808,True
FI,C19,2003,1807.1614996621347,True
FI,C19,2004,2391.5310232234774,True
FI,C19,2005,2831.230804399057,True
FI,C19,2006,3924.4617691011695,True
FI,C19,2007,4704.734606266337,True
FI,C19,2008,6478.038530219676,True
FI,C19,2009,3928.6587406338017,True
FI,C19,2010,4909.278965779344,True
FI,C19,2011,7426.669804496123,True
FI,C19,2012,8053.031721164971,True
FI,C19,2013,9205.182458849333,True
FI,C19,2014,8321.400135890404,True
FI,C20-C21,2000,1771.281478753998,True
FI,C20-C21,2001,1676.2112092150496,True
FI,C20-C21,2002,2018.0556199962944,True
FI,C20-C21,2003,2467.705870795187,True
FI,C20-C21,2004,3030.2939139410973,True
FI,C20-C21,2005,3805.3727036392957,True
FI,C20-C21,2006,4425.213697269499,True
FI,C20-C21,2007,5620.624037287279,True
FI,C20-C21,2008,6720.472780257414,True
FI,C20-C21,2009,4320.162902763728,True
FI,C20-C21,2010,5824.998295447271,True
FI,C20-C21,2011,6795.172244504814,True
FI,C20-C21,2012,6491.096650389948,True
FI,C20-C21,2013,6853.632275058212,True
FI,C20-C21,2014,5624.4766270003765,True
FI,C22-C23,2000,1276.7052695514367,True
FI,C22-C23,2001,1299.4385205258009,True
FI,C22-C23,2002,1474.7340319572058,True
FI,C22-C23,2003,1783.5795507901648,True
FI,C22-C23,2004,2174.541177683737,True
FI,C22-C23,2005,2230.3313518580094,True
FI,C22-C23,2006,2582.4204177004995,True
FI,C22-C23,2007,3076.346987670381,True
FI,C22-C23,2008,3269.945842563223,True
FI,C22-C23,2009,2488.2188132298425,True
FI,C22-C23,2010,2640.687435727263,True
FI,C22-C23,2011,3235.724839151163,True
FI,C22-C23,2012,2980.010215551261,True
FI,C22-C23,2013,3001.952736263285,True
FI,C22-C23,2014,3191.4271828156075,True
FI,C24-C25,2000,4130.40325820566,True
FI,C24-C25,2001,3931.5601671833792,True
FI,C24-C25,2002,4180.409339373284,True
FI,C24-C25,2003,5756.220780934775,True
FI,C24-C25,2004,8049.8197137632,True
FI,C24-C25,2005,8608.712199830486,True
FI,C24-C25,2006,11401.201940893025,True
FI,C24-C25,2007,13759.415765617248,True
FI,C24-C25,2008,13136.367077550509,True
FI,C24-C25,2009,6840.491354041118,True
FI,C24-C25,2010,10071.647500666873,True
FI,C24-C25,2011,11030.717091896899,True
FI,C24-C25,2012,9569.861203327106,True
FI,C24-C25,2013,9639.291745157741,True
FI,C24-C25,2014,9356.634535230512,True
FI,C26-C27,2000,14233.973250744286,True
FI,C26-C27,2001,12276.20184197292,True
FI,C26-C27,2002,13167.188768324628,True
FI,C26-C27,2003,14655.884099935378,True
FI,C26-C27,2004,17296.124135448386,True
FI,C26-C27,2005,19775.045941208562,True
FI,C26-C27,2006,20417.472842566272,True
FI,C26-C27,2007,24472.120356326854,True
FI,C26-C27,2008,28749.743647313673,True
FI,C26-C27,2009,18459.763613584306,True
FI,C26-C27,2010,15585.885181040498,True
FI,C26-C27,2011,14981.897280755718,True
FI,C26-C27,2012,12898.024520653302,True
FI,C26-C27,2013,11658.319636306234,True
FI,C26-C27,2014,11625.8721764144,True
FI,C28,2000,4787.4007493043055,True
FI,C28,2001,4986.822082255722,True
FI,C28,2002,4982.1838129252865,True
FI,C28,2003,5862.6551038134685,True
FI,C28,2004,7217.342809603774,True
FI,C28,2005,8107.58872499815,True
FI,C28,2006,9583.820885577328,True
FI,C28,2007,12329.355538238418,True
FI,C28,2008,14686.927397212774,True
FI,C28,2009,11736.761942352052,True
FI,C28,2010,11685.55151582205,True
FI,C28,2011,13671.670570576149,True
FI,C28,2012,12749.163490424453,True
FI,C28,2013,12601.511372829667,True
FI,C28,2014,12856.354808930282,True
FI,C29-C30,2000,2125.711027124067,True
FI,C29-C30,2001,2685.574797214029,True
FI,C29-C30,2002,2540.371814210969,True
FI,C29-C30,2003,3126.6663319224863,True
FI,C29-C30,2004,2744.388411912926,True
FI,C29-C30,2005,2433.9160598275603,True
FI,C29-C30,2006,3466.8788905445303,True
FI,C29-C30,2007,4787.689942360799,True
FI,C29-C30,2008,4888.078836166408,True
FI,C29-C30,2009,3662.8544308130877,True
FI,C29-C30,2010,2798.0881414091364,True
FI,C29-C30,2011,2205.5748745982396,True
FI,C29-C30,2012,2333.5480989963144,True
FI,C29-C30,2013,2548.7172920812204,True
FI,C29-C30,2014,3321.374382444178,True
FI,C31-C33,2000,925.1959783427628,True
FI,C31-C33,2001,973.6896836249282,True
FI,C31-C33,2002,1035.006208368444,True
FI,C31-C33,2003,1278.427006201171,True
FI,C31-C33,2004,1432.9455170509602,True
FI,C31-C33,2005,1407.9224563961402,True
FI,C31-C33,2006,1511.025495429115,True
FI,C31-C33,2007,1731.6512887984363,True
FI,C31-C33,2008,1943.2939359483914,True
FI,C31-C33,2009,1607.6484171104444,True
FI,C31-C33,2010,1530.2294696852118,True
FI,C31-C33,2011,1496.2857507198669,True
FI,C31-C33,2012,1572.7272729547637,True
FI,C31-C33,2013,1491.282003946843,True
FI,C31-C33,2014,1733.0281035769199,True
FR,C10-C12,2000,19601.421699766746,True
FR,C10-C12,2001,19238.64459845697,True
FR,C10-C12,2002,20974.10351053147,True
FR,C10-C12,2003,25153.90320467788,True
FR,C10-C12,2004,28125.25058378559,True
FR,C10-C12,2005,29017.81264967282,True
FR,C10-C12,2006,31825.043489284628,True
FR,C10-C12,2007,37009.76428933349,True
FR,C10-C12,2008,42424.872638044464,True
FR,C10-C12,2009,36240.54772576564,True
FR,C10-C12,2010,36879.38266228809,True
FR,C10-C12,2011,43855.47272468936,True
FR,C10-C12,2012,42129.64210433631,True
FR,C10-C12,2013,45176.484309397696,True
FR,C10-C12,2014,45055.453204652855,True
FR,C13-C15,2000,13165.985160185848,True
FR,C13-C15,2001,13320.841391537022,True
FR,C13-C15,2002,14068.874662951013,True
FR,C13-C15,2003,16061.707455892802,True
FR,C13-C15,2004,17903.81801301761,True
FR,C13-C15,2005,18330.876207387548,True
FR,C13-C15,2006,19593.60997289941,True
FR,C13-C15,2007,22224.553893441956,True
FR,C13-C15,2008,23732.684620429387,True
FR,C13-C15,2009,19456.223635749782,True
FR,C13-C15,2010,19118.888289608956,True
FR,C13-C15,2011,22003.120995281384,True
FR,C13-C15,2012,21038.6,True
FR,C13-C15,2013,21118.1181,True
FR,C13-C15,2014,21631.9655,True
FR,C16-C18,2000,7121.785089592056,True
FR,C16-C18,2001,6872.109290128006,True
FR,C16-C18,2002,7126.645372968639,True
FR,C16-C18,2003,8331.16448977016,True
FR,C16-C18,2004,9398.356167712429,True
FR,C16-C18,2005,9613.47293246986,True
FR,C16-C18,2006,10066.561872829921,True
FR,C16-C18,2007,11306.15814077274,True
FR,C16-C18,2008,11897.047327163904,True
FR,C16-C18,2009,9420.313822199178,True
FR,C16-C18,2010,9437.901453424754,True
FR,C16-C18,2011,10287.535147979452,True
FR,C16-C18,2012,9098.980957685517,True
FR,C16-C18,2013,9327.888030862907,True
FR,C16-C18,2014,9539.405131711579,True
FR,C19,2000,5764.240791543978,True
FR,C19,2001,5013.835960737516,True
FR,C19,2002,4655.344395695056,True
FR,C19,2003,6186.066842154303,True
FR,C19,2004,8077.87692429789,True
FR,C19,2005,12871.316086522484,True
FR,C19,2006,15978.79937105713,True
FR,C19,2007,16464.256536314333,True
FR,C19,2008,24275.191989537845,True
FR,C19,2009,13398.817060819785,True
FR,C19,2010,14908.823520129596,True
FR,C19,2011,18931.19987590232,True
FR,C19,2012,18438.16377807482,True
FR,C19,2013,17134.47844140495,True
FR,C19,2014,16307.35048806763,True
FR,C20-C21,2000,36132.91447984988,True
FR,C20-C21,2001,37370.917938297986,True
FR,C20-C21,2002,40765.67762192698,True
FR,C20-C21,2003,48489.91147517196,True
FR,C20-C21,2004,57008.45265643929,True
FR,C20-C21,2005,61660.963823893515,True
FR,C20-C21,2006,66756.88710979783,True
FR,C20-C21,2007,77565.49765778323,True
FR,C20-C21,2008,88841.49381911338,True
FR,C20-C21,2009,73425.57814879184,True
FR,C20-C21,2010,73855.48068278484,True
FR,C20-C21,2011,82825.93076606796,True
FR,C20-C21,2012,79796.10825862794,True
FR,C20-C21,2013,84101.58635842985,True
FR,C20-C21,2014,84436.699572492,True
FR,C22-C23,2000,11441.762789259294,True
